Brain Regions,Subdivision,(ID) Region Label,Count
Middle Temporal Gyrus,"A35/36c, caudal area 35/36","(112), PhG_R_6_2",490
Thalamus,"Otha, occipital thalamus","(241), Tha_L_8_6",487
Prefrontal Cortex,"A8vl, ventrolateral area 8","(24), MFG_R_7_5",487
"PCC, Precuneus","A5m, medial area 5(PEm)","(149), Pcun_L_4_2",486
Prefrontal Cortex,"IFJ, inferior frontal junction","(17), MFG_L_7_2",486
Precentral Gyrus,"A4hf, area 4(head and face region)","(54), PrG_R_6_1",478
Inferior Temporal Gyrus,"A37vm, ventromedial area37","(92), ITG_R_7_2",474
Striatum,"dCa, dorsal caudate","(227), Str_L_6_5",472
Prefrontal Cortex,"IFS, inferior frontal sulcus","(32), IFG_R_6_2",468
Middle Temporal Gyrus,"A28/34, area 28/34 (EC, entorhinal cortex)","(115), PhG_L_6_4",467
Middle Temporal Gyrus,"A35/36c, caudal area 35/36","(111), PhG_L_6_2",464
Prefrontal Cortex,"A9l, lateral area 9","(5), SFG_L_7_3",463
Prefrontal Cortex,"A9l, lateral area 9","(6), SFG_R_7_3",462
