Brain Regions,Subdivision,(ID) Region Label,Count
Middle Temporal Gyrus,"A35/36c, caudal area 35/36","(112), PhG_R_6_2",494
"PCC, Precuneus","A5m, medial area 5(PEm)","(149), Pcun_L_4_2",492
Middle Temporal Gyrus,"A35/36c, caudal area 35/36","(111), PhG_L_6_2",487
Prefrontal Cortex,"IFS, inferior frontal sulcus","(32), IFG_R_6_2",483
Thalamus,"Otha, occipital thalamus","(242), Tha_R_8_6",483
Inferior Temporal Gyrus,"A20r, rostral area 20","(94), ITG_R_7_3",481
Precentral Gyrus,"A4hf, area 4(head and face region)","(54), PrG_R_6_1",481
Middle Temporal Gyrus,"A28/34, area 28/34 (EC, entorhinal cortex)","(115), PhG_L_6_4",479
Prefrontal Cortex,"A8vl, ventrolateral area 8","(24), MFG_R_7_5",476
Prefrontal Cortex,"A11l, lateral area 11","(45), OrG_L_6_3",466
Striatum,"dCa, dorsal caudate","(227), Str_L_6_5",465
Inferior Parietal Lobe,"A39rd, rostrodorsal area 39(Hip3)","(138), IPL_R_6_2",462
Precentral Gyrus,"A4t, area 4(trunk region)","(60), PrG_R_6_4",458
Inferior Parietal Lobe,"A39c, caudal area 39(PGp)","(135), IPL_L_6_1",453
Striatum,"dlPu, dorsolateral putamen","(230), Str_R_6_6",449
Superior Temporal Gyrus,"A38l, lateral area 38","(78), STG_R_6_5",442
"PCC, Precuneus","dmPOS, dorsomeidal parietooccipital  sulcus(PEr)","(151), Pcun_L_4_3",434
Inferior Temporal Gyrus,"A37vm, ventromedial area37","(92), ITG_R_7_2",434
Thalamus,"Otha, occipital thalamus","(241), Tha_L_8_6",428
Thalamus,"rTtha, rostral Temporal thalamus","(238), Tha_R_8_4",420
Precentral Gyrus,"A4ul, area 4(upper limb region)","(57), PrG_L_6_3",417
Striatum,"GP, globus pallidus","(222), Str_R_6_2",408
Inferior Parietal Lobe,"A40rd, rostrodorsal area 40(PFt)","(139), IPL_L_6_3",404
Superior Parietal Lobule,"A7ip, intraparietal area 7(hIP3)","(126), SPL_R_5_1",398
Inferior Temporal Gyrus,"A20r, rostral area 20","(93), ITG_L_7_3",398
Superior Parietal Lobule,"A7pc, postcentral area 7","(130), SPL_R_5_3",394
Postcentral Gyrus,"A2, area 2","(160), PoG_R_4_3",392
Paracentral Lobule,"A4ll, area 4, (lower limb region)","(67), PCL_L_2_2",389
Postcentral Gyrus,"A1/2/3ulhf, area 1/2/3(upper limb, head and face region)","(155), PoG_L_4_1",371
"PCC, Precuneus","A5m, medial area 5(PEm)","(150), Pcun_R_4_2",355
