Brain Regions,Subdivision,(ID) Region Label,Count
Prefrontal Cortex,"A8vl, ventrolateral area 8","(24), MFG_R_7_5",496
Prefrontal Cortex,"IFS, inferior frontal sulcus","(32), IFG_R_6_2",496
"PCC, Precuneus","A5m, medial area 5(PEm)","(149), Pcun_L_4_2",490
"PCC, Precuneus","dmPOS, dorsomeidal parietooccipital  sulcus(PEr)","(151), Pcun_L_4_3",489
Inferior Parietal Lobe,"A39rd, rostrodorsal area 39(Hip3)","(138), IPL_R_6_2",485
Prefrontal Cortex,"A9l, lateral area 9","(6), SFG_R_7_3",483
Striatum,"dCa, dorsal caudate","(227), Str_L_6_5",482
Middle Temporal Gyrus,"A35/36c, caudal area 35/36","(111), PhG_L_6_2",478
Inferior Parietal Lobe,"A39c, caudal area 39(PGp)","(135), IPL_L_6_1",475
Middle Temporal Gyrus,"A35/36c, caudal area 35/36","(112), PhG_R_6_2",468
Middle Temporal Gyrus,"A28/34, area 28/34 (EC, entorhinal cortex)","(116), PhG_R_6_4",467
"PCC, Precuneus","dmPOS, dorsomeidal parietooccipital  sulcus(PEr)","(152), Pcun_R_4_3",451
Inferior Temporal Gyrus,"A37vm, ventromedial area37","(92), ITG_R_7_2",448
Thalamus,"Otha, occipital thalamus","(242), Tha_R_8_6",437
Striatum,"dlPu, dorsolateral putamen","(230), Str_R_6_6",427
Superior Parietal Lobule,"A7ip, intraparietal area 7(hIP3)","(126), SPL_R_5_1",425
Striatum,"dCa, dorsal caudate","(228), Str_R_6_5",412
Thalamus,"Otha, occipital thalamus","(241), Tha_L_8_6",410
Cingulate Gyrus,"A23d, dorsal area 23","(176), CG_R_7_1",406
Superior Temporal Gyrus,"A38l, lateral area 38","(78), STG_R_6_5",403
Inferior Temporal Gyrus,"A37vl, ventrolatral area37","(108), FuG_R_3_3",394
Paracentral Lobule,"A4ll, area 4, (lower limb region)","(67), PCL_L_2_2",380
Precentral Gyrus,"A4t, area 4(trunk region)","(59), PrG_L_6_4",377
Superior Parietal Lobule,"A7pc, postcentral area 7","(130), SPL_R_5_3",375
Precentral Gyrus,"A4hf, area 4(head and face region)","(54), PrG_R_6_1",359
Occipital Gyrus,"msOccG, medial superior occipital gyrus","(207), sOcG_L_2_1",356
Superior Temporal Gyrus,"A38m, medial area 38","(69), STG_L_6_1",354
Precentral Gyrus,"A4t, area 4(trunk region)","(60), PrG_R_6_4",350
Cingulate Gyrus,"A23v, ventral area 23","(181), CG_L_7_4",327
Inferior Temporal Gyrus,"A20r, rostral area 20","(94), ITG_R_7_3",325
