Brain Regions,Subdivision,(ID) Region Label,Count
Middle Temporal Gyrus,"A35/36c, caudal area 35/36","(112), PhG_R_6_2",490
Thalamus,"Otha, occipital thalamus","(241), Tha_L_8_6",487
Prefrontal Cortex,"A8vl, ventrolateral area 8","(24), MFG_R_7_5",487
"PCC, Precuneus","A5m, medial area 5(PEm)","(149), Pcun_L_4_2",486
Prefrontal Cortex,"IFJ, inferior frontal junction","(17), MFG_L_7_2",486
Precentral Gyrus,"A4hf, area 4(head and face region)","(54), PrG_R_6_1",478
Inferior Temporal Gyrus,"A37vm, ventromedial area37","(92), ITG_R_7_2",474
Striatum,"dCa, dorsal caudate","(227), Str_L_6_5",472
Prefrontal Cortex,"IFS, inferior frontal sulcus","(32), IFG_R_6_2",468
Middle Temporal Gyrus,"A28/34, area 28/34 (EC, entorhinal cortex)","(115), PhG_L_6_4",467
Middle Temporal Gyrus,"A35/36c, caudal area 35/36","(111), PhG_L_6_2",464
Prefrontal Cortex,"A9l, lateral area 9","(5), SFG_L_7_3",463
Prefrontal Cortex,"A9l, lateral area 9","(6), SFG_R_7_3",462
Inferior Temporal Gyrus,"A20r, rostral area 20","(94), ITG_R_7_3",458
Inferior Parietal Lobe,"A39rd, rostrodorsal area 39(Hip3)","(138), IPL_R_6_2",450
Inferior Parietal Lobe,"A39c, caudal area 39(PGp)","(135), IPL_L_6_1",450
Prefrontal Cortex,"A9m,medial area 9","(12), SFG_R_7_6",447
Middle Temporal Gyrus,"A35/36r, rostral area 35/36","(109), PhG_L_6_1",447
Middle Temporal Gyrus,"A28/34, area 28/34 (EC, entorhinal cortex)","(116), PhG_R_6_4",442
Prefrontal Cortex,"A11l, lateral area 11","(45), OrG_L_6_3",439
Thalamus,"Otha, occipital thalamus","(242), Tha_R_8_6",438
Precentral Gyrus,"A4t, area 4(trunk region)","(60), PrG_R_6_4",430
Thalamus,"rTtha, rostral Temporal thalamus","(238), Tha_R_8_4",418
Superior Temporal Gyrus,"A38l, lateral area 38","(78), STG_R_6_5",406
Superior Parietal Lobule,"A7ip, intraparietal area 7(hIP3)","(126), SPL_R_5_1",404
"PCC, Precuneus","dmPOS, dorsomeidal parietooccipital  sulcus(PEr)","(151), Pcun_L_4_3",398
Striatum,"dlPu, dorsolateral putamen","(230), Str_R_6_6",391
Middle Temporal Gyrus,"mAmyg, medial amyg","(211), Amyg_L_2_1",390
Precentral Gyrus,"A4t, area 4(trunk region)","(59), PrG_L_6_4",390
Prefrontal Cortex,"A45c, caudal area 45","(34), IFG_R_6_3",387
Middle Temporal Gyrus,"A21r, rostral area 21","(84), MTG_R_4_2",385
Precentral Gyrus,"A4ul, area 4(upper limb region)","(57), PrG_L_6_3",385
Paracentral Lobule,"A4ll, area 4, (lower limb region)","(67), PCL_L_2_2",383
Cingulate Gyrus,"A23v, ventral area 23","(182), CG_R_7_4",378
Striatum,"dlPu, dorsolateral putamen","(229), Str_L_6_6",376
Inferior Temporal Gyrus,"A37vl, ventrolatral area37","(108), FuG_R_3_3",375
Superior Parietal Lobule,"A7pc, postcentral area 7","(130), SPL_R_5_3",372
Postcentral Gyrus,"A2, area 2","(160), PoG_R_4_3",364
Cingulate Gyrus,"A23v, ventral area 23","(181), CG_L_7_4",362
Prefrontal Cortex,"A44d,dorsal area 44","(30), IFG_R_6_1",358
Striatum,"dCa, dorsal caudate","(228), Str_R_6_5",355
Prefrontal Cortex,"A10m, medial area 10","(13), SFG_L_7_7",355
"PCC, Precuneus","dmPOS, dorsomeidal parietooccipital  sulcus(PEr)","(152), Pcun_R_4_3",351
Cingulate Gyrus,"A23c, caudal area 24","(185), CG_L_7_6",348
Striatum,"GP, globus pallidus","(222), Str_R_6_2",345
Postcentral Gyrus,"A1/2/3ulhf, area 1/2/3(upper limb, head and face region)","(155), PoG_L_4_1",342
Prefrontal Cortex,"A12/47o, orbital area 12/47","(44), OrG_R_6_2",340
Prefrontal Cortex,"A6vl, ventrolateral area 6","(25), MFG_L_7_6",339
"PCC, Precuneus","cLinG, caudal lingual gyrus","(190), Cun_R_5_1",338
Prefrontal Cortex,"IFJ, inferior frontal junction","(18), MFG_R_7_2",330
Inferior Parietal Lobe,"A40rd, rostrodorsal area 40(PFt)","(139), IPL_L_6_3",329
"PCC, Precuneus","A5m, medial area 5(PEm)","(150), Pcun_R_4_2",327
Postcentral Gyrus,"A1/2/3tru, area1/2/3(trunk region)","(161), PoG_L_4_4",324
Prefrontal Cortex,"A9m,medial area 9","(11), SFG_L_7_6",319
Thalamus,"mPMtha, pre-motor thalamus","(233), Tha_L_8_2",316
Thalamus,"PPtha, posterior parietal thalamus","(240), Tha_R_8_5",316
Prefrontal Cortex,"A6dl, dorsolateral area 6","(7), SFG_L_7_4",316
Inferior Temporal Gyrus,"A20r, rostral area 20","(93), ITG_L_7_3",315
Prefrontal Cortex,"A46, area 46","(19), MFG_L_7_3",313
Prefrontal Cortex,"A6dl, dorsolateral area 6","(8), SFG_R_7_4",309
Prefrontal Cortex,"A11m, medial area 11","(48), OrG_R_6_4",304
Middle Temporal Gyrus,"rHipp, rostral hipp","(216), Hipp_R_2_1",299
Inferior Temporal Gyrus,"A37vm, ventromedial area37","(91), ITG_L_7_2",292
Middle Temporal Gyrus,"mAmyg, medial amyg","(212), Amyg_R_2_1",291
Cingulate Gyrus,"A23d, dorsal area 23","(176), CG_R_7_1",290
Precentral Gyrus,"A4hf, area 4(head and face region)","(53), PrG_L_6_1",289
